transaction_id;passenger_id;boarding_pass_id;date;flight_id;fare;currency
1;6;1;10/08/2021;14;587;TMT
2;10;2;15/05/2021;7;766;IDR
3;27;3;14/05/2021;5;992;CNY
4;42;4;07/11/2021;39;836;IDR
5;40;5;26/08/2022;29;371;CNY
6;13;6;25/11/2020;31;112;EUR
7;34;7;10/09/2021;46;132;CNY
8;19;8;15/06/2022;7;13;IDR
9;45;9;15/07/2020;35;281;IDR
10;30;10;22/12/2021;19;324;CNY
11;43;11;14/01/2021;2;842;CNY
12;17;12;26/04/2020;23;448;ZWL
13;2;13;15/03/2022;33;978;USD
14;3;14;15/07/2021;17;810;PLN
15;49;15;09/02/2020;13;789;EUR
16;36;16;06/06/2021;7;884;MXN
17;6;17;06/10/2021;41;838;ARS
18;42;18;29/11/2021;50;240;UAH
19;2;19;23/07/2022;13;933;CZK
20;18;20;28/07/2021;34;25;KRW
21;31;21;06/06/2021;8;714;EUR
22;21;22;15/04/2021;44;343;EUR
23;20;23;02/07/2022;29;793;HRK
24;37;24;14/07/2022;13;499;CAD
25;42;25;20/02/2022;48;980;EUR
26;42;26;28/01/2021;30;351;IDR
27;25;27;29/01/2021;39;383;UAH
28;47;28;04/09/2021;16;105;ARS
29;2;29;19/12/2021;25;852;CNY
30;34;30;17/04/2022;3;466;UAH
31;39;31;16/08/2022;38;57;EUR
32;48;32;01/05/2022;48;472;EUR
33;16;33;12/06/2020;38;128;COP
34;12;34;09/05/2022;21;192;JPY
35;41;35;09/08/2022;40;290;USD
36;29;36;08/04/2021;11;880;JPY
37;26;37;07/07/2021;25;93;EUR
38;4;38;01/07/2020;46;546;MGA
39;17;39;27/02/2020;5;593;BRL
40;26;40;14/02/2020;27;722;CNY
41;9;41;22/12/2021;27;414;CNY
42;24;42;26/10/2020;22;155;DKK
43;3;43;22/12/2021;30;248;BRL
44;10;44;26/02/2020;16;132;EUR
45;2;45;03/10/2020;1;866;BRL
46;27;46;07/01/2022;17;601;IDR
47;6;47;04/01/2021;3;345;CNY
48;18;48;02/08/2022;7;459;IDR
49;15;49;11/11/2021;10;882;KHR
50;31;50;13/02/2022;18;198;NGN
